time,omega_world_x,omega_world_y,omega_world_z,omega_local_x,omega_local_y,omega_local_z
0.0,0.30011572541915604,0.001018366664669048,0.6925860847813818,0.10868663173629245,0.0013491602694462401,0.9940751459765941
0.04020100502512563,0.3000794588468659,0.0020366107959297526,0.6926710201629769,0.10863876166199557,0.002699997617047074,0.9940776274906382
0.08040201005025126,0.2999281620573556,0.004067718131135458,0.6929439116670439,0.10843401676987376,0.005402055400522751,0.9940889707690155
0.12060301507537688,0.2996761264700857,0.00608779921959993,0.693397577107765,0.10809347983191372,0.00810817897532582,0.9941076687419386
0.16080402010050251,0.29932354913107767,0.008091293345063698,0.6940302898009096,0.10761820074816342,0.010820265695555732,0.9941334139430208
0.20100502512562815,0.2988707226342655,0.010072584684139777,0.6948396402175606,0.10700963565146465,0.013540052522641033,0.9941657833859627
0.24120603015075376,0.29831805144050183,0.012025987240185507,0.6958225438093429,0.10626963345556115,0.016269066272392094,0.9942042458609022
0.2814070351758794,0.297666072280321,0.013945732533436762,0.6969752510641409,0.10540041894481923,0.019008576943235923,0.9942481710764419
0.32160804020100503,0.29691547821915,0.015825960644411132,0.6982933597876438,0.10440457268013656,0.021759554774924496,0.9942968404754564
0.36180904522613067,0.29606714588317345,0.017660715148040032,0.6997718296022174,0.10328500804155683,0.02452263161173155,0.9943494595225016
0.4020100502512563,0.29512216527357515,0.019443942406850302,0.7014049986547508,0.1020449457660155,0.02729806705938176,0.9944051712347601
0.44221105527638194,0.2940818715329131,0.021169495613317078,0.7031866025183365,0.10068788636775111,0.030085719832787607,0.9944630707074738
0.4824120603015075,0.29294787797629807,0.022831143885776013,0.705109795271178,0.09921758084889445,0.03288502459481607,0.9945222203691035
0.5226130653266332,0.2917221096582743,0.02442258663020924,0.707167172729403,0.09763800011863893,0.03569497448750013,0.9945816656912441
0.5628140703517588,0.29040683671719847,0.025937473283157392,0.709350797804734,0.09595330354124691,0.03851410945867562,0.9946404510737167
0.6030150753768844,0.28900470672274364,0.027369428450654435,0.711652227952242,0.09416780702671596,0.04134051039150507,0.9946976356261984
0.6432160804020101,0.2875187752476606,0.02871208235579956,0.7140625446640755,0.09228595106373719,0.04417179895384801,0.9947523085740703
0.6834170854271356,0.2859525338949127,0.029959106405100838,0.7165723849579968,0.09031226907367687,0.04700514300061051,0.994803604027577
0.7236180904522613,0.2843099350333735,0.031104253582742398,0.7191719747992675,0.08825135643779396,0.04983726728686046,0.9948507148694559
0.7638190954773869,0.2825954125308024,0.03214140328394963,0.7218511643849431,0.0861078405186505,0.05266446918350455,0.9948929055364876
0.8040201005025126,0.2808138978203252,0.03306461010534103,0.724599465207913,0.08388635196217722,0.05548263903155834,0.9949295234942883
0.8442211055276382,0.27897083069693884,0.033868156023168304,0.7274060888080649,0.08159149752999785,0.058287284725884875,0.994960009231575
0.8844221105527639,0.277072164310557,0.034546605311036656,0.7302599871041452,0.07922783467356995,0.06107356008496109,0.9949839046293595
0.9246231155778895,0.27512436390370715,0.035094861478576815,0.7331498941892923,0.07679984802348044,0.06383629653928408,0.9950008595914472
0.964824120603015,0.27313439893151004,0.035508225452753284,0.7360643694598075,0.07431192792974176,0.06657003765715667,0.9950106368545463
1.0050251256281406,0.2711097282989408,0.0357824541752643,0.7389918419341119,0.07176835115277795,0.06926907602219028,0.9950131149285639
1.0452261306532664,0.2690582785542358,0.03591381875364167,0.7419206556065131,0.06917326377085851,0.07192749198066549,0.995008289149723
1.085427135678392,0.2669884149855788,0.035899161281158797,0.7448391156684806,0.06653066633823237,0.07453919378850077,0.994996270860324
1.1256281407035176,0.26490890567900377,0.03573594943183995,0.7477355354172398,0.06384440129969533,0.07709795870549774,0.9949772847588676
1.1658291457286432,0.2628288787084159,0.03542232794224145,0.7505982836618234,0.06111814264187499,0.07959747460770834,0.9949516644923424
1.2060301507537687,0.2607577727396309,0.03495716611131401,0.7534158324242989,0.05835538773938892,0.08203138171639204,0.9949198465884
1.2462311557788945,0.25870528144039295,0.03434010048352742,0.7561768047264523,0.055559451335045,0.08439331407268011,0.9948823628485826
1.2864321608040201,0.25668129219297847,0.03357157192807873,0.7588700222426135,0.05273346157751309,0.08667694041996557,0.9948398313444665
1.3266331658291457,0.2546958197050773,0.03265285638791136,0.7614845525919717,0.04988035802712673,0.08887600419005615,0.9947929461763865
1.3668341708542713,0.25275893520669984,0.031586088645892435,0.7640097560398738,0.04700289153061611,0.09098436232367775,0.9947424661691664
1.407035175879397,0.2508806920024599,0.030374278540214256,0.7664353313716554,0.04410362585808983,0.09299602268987364,0.9946892026909885
1.4472361809045227,0.24907104822055562,0.029021319156500393,0.7687513607011501,0.041184940990725075,0.09490517990189251,0.9946340067901258
1.4874371859296482,0.24733978765951514,0.027531986628113795,0.7709483529760894,0.03824903794445768,0.09670624935856034,0.9945777558498499
1.5276381909547738,0.2456964396800496,0.02591193128761741,0.7730172859430267,0.035297945013762495,0.0983938993694936,0.9945213399644431
1.5678391959798994,0.24415019912228275,0.024167660029431257,0.7749496463386463,0.03233352531981134,0.0999630812494334,0.9944656482390491
1.6080402010050252,0.24270984724630934,0.02230650986460417,0.7767374680789358,0.02935748554865917,0.10140905729134356,0.9944115552132031
1.6482412060301508,0.2413836746973594,0.02033661277140517,0.7783733682264319,0.026371385767342395,0.10272742654937936,0.9943599076024999
1.6884422110552764,0.24017940748388975,0.018266852068225793,0.7798505805234475,0.023376650208821292,0.10391414838150338,0.9943115115451302
1.728643216080402,0.23910413692983243,0.0161068106560692,0.7811629862921838,0.020374578920087757,0.10496556371722249,0.9942671205301696
1.7688442211055277,0.238164254519243,0.013866711594614825,0.782305142514489,0.017366360171376022,0.10587841402881268,0.9942274241727299
1.8090452261306533,0.23736539249511202,0.011557351586961072,0.7832723069203305,0.01435308352831978,0.10664985799461985,0.9941930379875714
1.849246231155779,0.23671237100333514,0.009190028051289545,0.7840604599295775,0.011335753492474827,0.10727748585062061,0.9941644942977634
1.8894472361809045,0.2362091524901823,0.006776460551593656,0.7846663233108504,0.008315303619068556,0.1077593314317935,0.9941422343986275
